法源编号,层级,规范全称,制定机关,文号或标准号,公布日期,施行日期,失效日期,基准日状态,适用场景,重点条款或章节,具体规则内容,内容属性,强制属性,官方URL,最后核验日期,替代或衔接关系,项目适用结论,适用或排除理由,复核人
R002,部门规章,人脸识别技术应用安全管理办法,国家网信办、公安部,第19号令,2025-03-21,2025-06-01,,现行,应用人脸识别技术处理人脸信息,第4—15条,"规则摘要，非原文：处理人脸信息须有特定目的和充分必要性，履行显著告知和适用的单独同意，提供合理替代方式，开展PIA并落实设备内存储、最短期限、安全和达到10万人时备案等要求。",规则摘要,强制,https://www.cac.gov.cn/2025-03/21/c_1744174262156096.htm,2026-08-02,与个保法敏感信息规则并行,,,待复核
R003,部门规章,促进和规范数据跨境流动规定,国家互联网信息办公室,按官方文本,2024-03-22,2024-03-22,,现行,数据和个人信息出境,第3—13条,"规则摘要，非原文：按CII、重要数据、年度累计一般或敏感个人信息数量以及法定豁免情形，判断安全评估、标准合同、认证或免予申报路径。",规则摘要,强制,https://www.cac.gov.cn/2024-03/22/c_1712776612187994.htm,2026-08-02,优先适用更新后的数量阈值,,,待复核
R004,部门规章,数据出境安全评估办法,国家互联网信息办公室,国家网信办令第11号,2022-07-07,2022-09-01,,现行,CII和达到门槛的数据出境,第4—14条,"规则摘要，非原文：符合申报条件的数据处理者应先开展出境风险自评估，提交申报材料，并在评估有效期内持续履行安全保护和重大变化重新申报义务。",规则摘要,强制,https://www.cac.gov.cn/2022-07/07/c_1658811536396503.htm,2026-08-02,与R003衔接适用,,,待复核
R005,部门规章,个人信息出境标准合同办法,国家互联网信息办公室,国家网信办令第13号,2023-02-22,2023-06-01,,现行,标准合同路径的个人信息出境,第4—10条,"规则摘要，非原文：符合适用条件的处理者应开展PIA、与境外接收方订立标准合同并备案；其他文件与标准合同冲突时不得影响标准合同履行。",规则摘要,强制,https://www.cac.gov.cn/2023-02/24/c_1678884830036813.htm,2026-08-02,与R003衔接适用,,,待复核
R006,部门规章,个人信息出境认证办法,国家网信办、市场监管总局,第20号令,2025-10-14,2026-01-01,,现行,认证路径的个人信息出境,认证和持续监督条款,"规则摘要，非原文：符合认证路径的个人信息处理者应开展PIA，建立组织和合同保障，申请认证并在有效期内接受持续监督和按规定备案。",规则摘要,强制,https://www.cac.gov.cn/2025-10/17/c_1762449728720008.htm,2026-08-02,与R003衔接适用,,,待复核
R007,部门规章,网络数据安全风险评估办法,国家网信办、工信部、公安部,第24号令,2026-06-18,2026-08-20,,尚未施行,网络数据安全风险评估,评估和报告条款,"规则摘要，非原文：规则拟对重要数据处理者的评估周期、报告和报送，以及第三方机构独立性、监管要求评估和整改作出要求；施行前仅作准备事项。",规则摘要,未来强制/部分鼓励,https://www.cac.gov.cn/2026-06/18/c_1783525609815499.htm,2026-08-02,施行前不得作为现行义务,,,待复核
R008,部门规章,小型个人信息处理者个人信息保护简化措施规定,国家网信办、公安部,第25号令,2026-07-22,2026-09-01,,尚未施行,不满10万人个人信息处理者,告知同意审计PIA等条款,"规则摘要，非原文：规则对不满10万人处理者的告知同意、平台依托、权利响应、出境、至少每五年审计、简化PIA、制度和事件处置规定简化路径；施行前不得提前适用。",规则摘要,未来强制/简化规则,https://www.cac.gov.cn/2026-07/24/c_1786638889704872.htm,2026-08-02,施行前不得提前适用简化效果,,,待复核
R009,部门规章,儿童个人信息网络保护规定,国家互联网信息办公室,国家网信办令第4号,2019-08-22,2019-10-01,,现行,网络运营者处理儿童个人信息,第7—25条,"规则摘要，非原文：处理不满十四周岁儿童个人信息应制定专门规则、履行监护人告知同意、最小授权、访问控制、委托监督、转移披露、删除和事件通知义务。",规则摘要,强制,https://www.cac.gov.cn/2019-08/23/c_1124913903.htm,2026-08-02,与个保法和未成年人条例并行,,,待复核
R010,规范性文件,常见类型移动互联网应用程序必要个人信息范围规定,四部门,国信办秘字〔2021〕14号,2021-03-12,2021-05-01,,现行,39类App和小程序,各类基本功能清单,"规则摘要，非原文：App不得因用户不同意提供非必要个人信息而拒绝其使用基本功能；应按对应App类型核验基本功能及必要个人信息范围。",规则摘要,强制性监管规则,https://www.miit.gov.cn/xwdt/gxdt/sjdt/art/2021/art_8f40f74c048b4e1faa6256dd8b1c1ba7.html,2026-08-02,与个保法最小必要原则并行,,,待复核
R011,规范性文件,App违法违规收集使用个人信息行为认定方法,四部门,国信办秘字〔2019〕191号,2019-11-28,2019-11-28,,现行参考口径,App个人信息处理,全文,"规则摘要，非原文：监管从规则公开、告知同意、必要性、第三方提供、权利入口等方面识别App违法违规收集使用个人信息行为；应结合后续法律法规适用。",规则摘要,监管认定参考,https://www.cac.gov.cn/2019-12/27/c_1578986455686625.htm,2026-08-02,结合后续法律法规使用,,,待复核
R012,部门规章,互联网信息服务算法推荐管理规定,四部门,第9号令,2021-12-31,2022-03-01,,现行,算法推荐画像排序和调度,第7—24条,"规则摘要，非原文：算法推荐服务提供者应建立算法和个人信息保护制度，告知服务基本情况，提供关闭或非个性化选项、标签控制，并在适用时完成安全评估和算法备案。",规则摘要,强制,https://www.cac.gov.cn/2022-01/04/c_1642894606364259.htm,2026-08-02,与个保法第24条并行,,,待复核
R013,部门规章,互联网信息服务深度合成管理规定,三部门,第12号令,2022-11-25,2023-01-10,,现行,深度合成服务,数据和标识章节,"规则摘要，非原文：深度合成服务提供者应管理训练数据和个人信息，开展身份认证、内容标识、安全评估和算法备案，并落实用户和信息内容管理。",规则摘要,强制,https://www.cac.gov.cn/2022-12/11/c_1672221949354811.htm,2026-08-02,与内容标识办法并行,,,待复核
R014,部门规章,生成式人工智能服务管理暂行办法,七部门,第15号令,2023-07-10,2023-08-15,,现行,面向境内公众的生成式AI服务,第7—19条,"规则摘要，非原文：适用范围内的提供者应确保训练数据来源合法，依法处理个人信息，规范标注，保护输入和使用记录，响应权利请求，并在适用时履行安全评估和算法备案。",规则摘要,强制,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,2026-08-02,仅在适用范围成立时使用,,,待复核
R015,规范性文件,人工智能生成合成内容标识办法,四部门,国信办通字〔2025〕2号,2025-03-07,2025-09-01,,现行,生成合成内容服务和传播,第4—12条,"规则摘要，非原文：适用的服务提供者应按内容类型添加显式和隐式标识、写入文件元数据、提供用户声明功能、规范协议和日志，并在备案评估中提交标识材料。",规则摘要,强制,https://www.cac.gov.cn/2025-03/14/c_1743654684782215.htm,2026-08-02,与GB 45438—2025配套,,,待复核
R016,部门规章,人工智能拟人化互动服务管理暂行办法,五部门,第21号令,2026-04-10,2026-07-15,,现行,向境内公众提供持续性拟人化情感互动服务,第9—26条,"规则摘要，非原文：适用的提供者应落实全生命周期安全、训练和交互数据保护、未成年人模式、敏感交互数据训练单独同意、AI身份提示、退出、风险评估、事件处置及算法备案等要求。",规则摘要,强制,https://www.cac.gov.cn/2026-04/10/c_1777558395078289.htm,2026-08-02,与个保法、生成式AI和标识规则并行,,,待复核
S001,推荐性国家标准,数据安全技术 个人信息保护合规审计要求,国家市场监管总局、国家标准委,GB/T 46903—2025,2025-12-31,2026-07-01,,现行,个人信息保护合规审计,第6章及附录C,"规则摘要，非原文：标准为审计组织、程序、内容、证据、底稿和报告提供实施要求和模板参考；GB/T为推荐性，不当然转化为法定义务。",规则摘要,推荐性,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=EC64C138A5B6A52AA5DC5A60188FC07E&refer=outter,2026-08-02,不得当然表述为法定义务,,,待复核
S002,推荐性国家标准,信息安全技术 个人信息安全规范,国家市场监管总局、国家标准委,GB/T 35273—2020,2020-03-06,2020-10-01,,现行,个人信息全生命周期,全篇,"规则摘要，非原文：标准从收集、存储、使用、共享转让公开、权利响应、组织和事件等方面提供全生命周期个人信息安全控制参考。",规则摘要,推荐性,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=4568F276E0F8346EB0FBA097AA0CE05E,2026-08-02,实施参考,,,待复核
S003,推荐性国家标准,信息安全技术 个人信息安全影响评估指南,国家市场监管总局、国家标准委,GB/T 39335—2020,2020-11-19,2021-06-01,,现行,个人信息保护影响评估,全篇,"规则摘要，非原文：标准提供PIA准备、处理活动分析、权益影响和安全风险识别、保护措施评估、报告和跟踪的方法参考。",规则摘要,推荐性,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=9EA84C0C3C2DBD3997B23F8E6C8ECA35,2026-08-02,PIA实施参考,,,待复核
S004,推荐性国家标准,信息安全技术 个人信息处理中告知和同意的实施指南,国家市场监管总局、国家标准委,GB/T 42574—2023,2023-05-23,2023-12-01,,现行,告知同意和撤回,全篇,"规则摘要，非原文：标准提供分层告知、界面展示、同意和单独同意获取、撤回及留痕的实施参考。",规则摘要,推荐性,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=09255E6D24E0BAB7F391472C6995EC56,2026-08-02,实施参考,,,待复核
S005,推荐性国家标准,数据安全技术 敏感个人信息处理安全要求,国家市场监管总局、国家标准委,GB/T 45574—2025,2025-04-25,2025-11-01,,现行,敏感个人信息处理,全篇,"规则摘要，非原文：标准对敏感个人信息识别、充分必要、告知同意、访问控制、传输存储、删除和持续风险控制提供实施参考。",规则摘要,推荐性,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=F9F3A2EBF49E9B4D73AD8C8912986D5A,2026-08-02,实施参考,,,待复核
S006,推荐性国家标准,数据安全技术 基于个人信息的自动化决策安全要求,国家市场监管总局、国家标准委,GB/T 45392—2025,2025-02-28,2025-10-01,,现行,画像推荐排序风控和定价,全篇,"规则摘要，非原文：标准对自动化决策的数据和模型治理、透明公平、用户控制、重大影响、差别待遇和安全评估提供实施参考。",规则摘要,推荐性,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=AAF1CD9403AC05FC861DFE522A9D5C7C&refer=outter,2026-08-02,实施参考,,,待复核
S007,强制性国家标准,网络安全技术 人工智能生成合成内容标识方法,国家市场监管总局、国家标准委,GB 45438—2025,2025-03-14,2025-09-01,,现行,生成合成内容标识,显式隐式及元数据要求,"规则摘要，非原文：标准规定生成合成文本、图片、音频、视频和虚拟场景的显式、隐式标识方法及文件元数据技术要求；应按适用条款核验。",规则摘要,强制,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=F32EA2A561F1886CD8D606513512D547&refer=outter,2026-08-02,与R015配套,,,待复核
S008,实践指南,网络安全标准实践指南——个人信息保护合规审计要求,全国网络安全标准化技术委员会秘书处,网安秘字〔2025〕62号,2025-05-19,2025-05-19,,现行参考,合规审计程序证据底稿和报告,全篇,"规则摘要，非原文：实践指南为审计实施流程、审计内容与方法、证据、底稿和报告模板提供操作参考，不替代法律法规或国家标准。",规则摘要,实践参考,https://www.tc260.org.cn/portal/article/2/20250519172429,2026-08-02,不得替代直接法源或GB/T 46903—2025,,,待复核
